RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
5.008,10.856,3.326,0.001,0.0,0.001,5.009,10.856,3.327
0.172,0.331,0.14,0.0,0.0,0.0,0.172,0.331,0.14
3.435,3.049,4.209,0.0,,0.0,3.434,3.049,4.208
