RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
5.856,13.124,3.764,38.557,55.703,33.623,44.413,68.827,37.387
0.128,0.275,0.097,0.464,0.1,0.583,0.578,0.311,0.661
2.186,2.095,2.577,1.203,0.18,1.734,1.301,0.452,1.768
