RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
5.028,7.34,4.362,0.001,0.0,0.001,5.029,7.34,4.363
0.167,0.243,0.153,0.0,0.0,0.0,0.167,0.243,0.153
3.321,3.311,3.508,0.0,,0.0,3.321,3.311,3.507
