RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.308,6.013,3.818,0.001,0.0,0.001,4.309,6.013,3.819
0.119,0.185,0.108,0.0,0.0,0.0,0.119,0.185,0.108
2.762,3.077,2.829,0.0,,0.0,2.762,3.077,2.828
