RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
25.116,52.319,19.631,0.0,0.0,0.0,25.116,52.319,19.631
0.182,0.159,0.191,0.0,0.0,0.0,0.182,0.159,0.191
0.725,0.304,0.973,,,,0.725,0.304,0.973
