RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.679,3.973,4.882,0.164,0.735,0.0,4.843,4.708,4.882
0.139,0.141,0.149,0.006,0.028,0.0,0.144,0.162,0.149
2.971,3.549,3.052,3.659,3.81,,2.973,3.441,3.052
