RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
5.081,9.234,3.886,2.954,8.463,1.368,8.035,17.698,5.254
0.179,0.324,0.148,0.091,0.261,0.055,0.245,0.503,0.191
3.523,3.509,3.809,3.081,3.084,4.02,3.049,2.842,3.635
