RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
3.929,1.909,4.581,3.098,12.697,0.003,7.027,14.606,4.584
0.068,0.076,0.079,0.013,0.054,0.0,0.077,0.089,0.079
1.731,3.981,1.725,0.42,0.425,0.0,1.096,0.609,1.723
