RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
11.076,31.456,5.202,88.924,68.544,94.798,100.0,100.0,100.0
0.101,0.204,0.081,0.101,0.204,0.081,0.0,0.0,0.0
0.912,0.649,1.557,0.114,0.298,0.085,0.0,0.0,0.0
