RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
1.642,1.726,1.618,0.0,0.0,0.0,1.642,1.726,1.618
0.065,0.099,0.064,0.0,0.0,0.0,0.065,0.099,0.064
3.959,5.736,3.956,,,,3.959,5.736,3.956
