RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
7.175,28.045,1.17,0.0,0.0,0.0,7.175,28.045,1.17
0.07,0.195,0.044,0.0,0.0,0.0,0.07,0.195,0.044
0.976,0.695,3.761,,,,0.976,0.695,3.761
