RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
9.964,25.901,5.371,21.536,42.913,15.375,31.5,68.814,20.746
0.151,0.312,0.126,0.16,0.172,0.225,0.266,0.181,0.302
1.515,1.205,2.346,0.743,0.401,1.463,0.844,0.263,1.456
