RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.118,7.757,3.071,0.0,0.0,0.0,4.118,7.757,3.071
0.061,0.152,0.051,0.0,0.0,0.0,0.061,0.152,0.051
1.481,1.96,1.661,,,,1.481,1.96,1.661
