RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
15.264,1.452,19.035,0.004,0.0,0.005,15.268,1.452,19.04
0.106,0.06,0.126,0.0,0.0,0.0,0.106,0.06,0.126
0.694,4.132,0.662,0.0,,0.0,0.694,4.132,0.662
