RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
24.518,2.594,29.857,0.199,1.018,0.0,24.717,3.613,29.857
0.262,0.075,0.318,0.004,0.022,0.0,0.265,0.081,0.318
1.069,2.891,1.065,2.01,2.161,,1.072,2.242,1.065
