RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
9.267,0.947,11.662,0.004,0.016,0.0,9.271,0.963,11.662
0.08,0.047,0.096,0.001,0.003,0.0,0.08,0.047,0.096
0.863,4.963,0.823,25.0,18.75,,0.863,4.881,0.823
