RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
9.26,31.972,2.724,0.0,0.0,0.0,9.26,31.972,2.724
0.116,0.275,0.099,0.0,0.0,0.0,0.116,0.275,0.099
1.253,0.86,3.634,,,,1.253,0.86,3.634
