RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.583,1.824,5.377,0.0,0.0,0.0,4.583,1.824,5.377
0.108,0.073,0.127,0.0,0.0,0.0,0.108,0.073,0.127
2.357,4.002,2.362,,,,2.357,4.002,2.362
