RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
38.545,43.147,37.221,0.058,0.258,0.0,38.602,43.405,37.221
0.224,0.194,0.239,0.0,0.002,0.0,0.223,0.192,0.239
0.581,0.45,0.642,0.0,0.775,,0.578,0.442,0.642
