RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
2.289,5.016,1.503,16.199,50.406,6.339,18.488,55.423,7.842
0.063,0.131,0.054,0.112,0.115,0.127,0.155,0.169,0.168
2.752,2.612,3.593,0.691,0.228,2.003,0.838,0.305,2.142
