RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
15.323,14.555,15.51,1.26,6.433,0.0,16.583,20.989,15.51
0.196,0.23,0.198,0.008,0.042,0.0,0.2,0.251,0.198
1.279,1.58,1.277,0.635,0.653,,1.206,1.196,1.277
