RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
12.201,30.623,6.9,0.0,0.0,0.0,12.201,30.623,6.9
0.123,0.215,0.117,0.0,0.0,0.0,0.123,0.215,0.117
1.008,0.702,1.696,,,,1.008,0.702,1.696
