RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.505,10.576,2.758,0.0,0.0,0.0,4.505,10.576,2.758
0.115,0.235,0.099,0.0,0.0,0.0,0.115,0.235,0.099
2.553,2.222,3.59,,,,2.553,2.222,3.59
