RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
3.934,1.094,4.751,14.402,33.091,9.024,18.336,34.185,13.775
0.081,0.053,0.095,0.182,0.061,0.218,0.245,0.076,0.296
2.059,4.845,2.0,1.264,0.184,2.416,1.336,0.222,2.149
