RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
13.94,48.182,4.069,0.0,0.0,0.0,13.94,48.182,4.069
0.06,0.087,0.062,0.0,0.0,0.0,0.06,0.087,0.062
0.43,0.181,1.524,,,,0.43,0.181,1.524
