RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
8.59,12.963,7.33,6.947,31.037,0.003,15.537,44.0,7.333
0.119,0.175,0.106,0.026,0.115,0.0,0.098,0.076,0.106
1.385,1.35,1.446,0.374,0.371,0.0,0.631,0.173,1.446
