RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
16.898,47.259,9.505,0.0,0.0,0.0,16.898,47.259,9.505
0.236,0.426,0.208,0.0,0.0,0.0,0.236,0.426,0.208
1.397,0.901,2.188,,,,1.397,0.901,2.188
