RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
3.117,3.936,2.881,0.0,0.0,0.0,3.117,3.936,2.881
0.099,0.109,0.1,0.0,0.0,0.0,0.099,0.109,0.1
3.176,2.769,3.471,,,,3.176,2.769,3.471
