RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
21.735,37.601,17.871,0.0,0.0,0.001,21.735,37.601,17.872
0.223,0.354,0.194,0.0,0.0,0.0,0.223,0.354,0.194
1.026,0.941,1.086,,,0.0,1.026,0.941,1.085
