RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
34.042,47.213,31.387,1.218,7.262,0.0,35.261,54.476,31.387
0.246,0.2,0.263,0.005,0.032,0.0,0.242,0.17,0.263
0.723,0.424,0.838,0.411,0.441,,0.686,0.312,0.838
