RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
2.815,4.604,2.3,0.0,0.0,0.0,2.815,4.604,2.3
0.072,0.129,0.063,0.0,0.0,0.0,0.072,0.129,0.063
2.558,2.802,2.739,,,,2.558,2.802,2.739
