RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.022,9.094,2.563,0.0,0.0,0.0,4.022,9.094,2.563
0.12,0.236,0.101,0.0,0.0,0.0,0.12,0.236,0.101
2.984,2.595,3.941,,,,2.984,2.595,3.941
