RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
9.141,19.966,6.025,0.0,0.0,0.0,9.141,19.966,6.025
0.133,0.23,0.118,0.0,0.0,0.0,0.133,0.23,0.118
1.455,1.152,1.959,,,,1.455,1.152,1.959
