RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
15.471,23.081,13.281,0.0,0.0,0.0,15.471,23.081,13.281
0.242,0.386,0.208,0.0,0.0,0.0,0.242,0.386,0.208
1.564,1.672,1.566,,,,1.564,1.672,1.566
