RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
3.974,8.958,2.54,0.0,0.0,0.0,3.974,8.958,2.54
0.121,0.239,0.101,0.0,0.0,0.0,0.121,0.239,0.101
3.045,2.668,3.976,,,,3.045,2.668,3.976
