RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.044,6.261,3.406,0.819,3.663,0.0,4.863,9.925,3.406
0.121,0.178,0.11,0.021,0.093,0.0,0.128,0.235,0.11
2.992,2.843,3.23,2.564,2.539,,2.632,2.368,3.23
