RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
2.401,2.528,2.365,37.271,65.888,29.02,39.672,68.415,31.385
0.086,0.089,0.087,0.525,0.228,0.612,0.558,0.262,0.643
3.582,3.521,3.679,1.409,0.346,2.109,1.407,0.383,2.049
