RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
5.158,13.655,2.713,0.001,0.0,0.001,5.159,13.655,2.715
0.171,0.398,0.13,0.0,0.0,0.0,0.171,0.398,0.13
3.315,2.915,4.792,0.0,,0.0,3.315,2.915,4.788
