RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.97,9.309,3.929,0.0,0.0,0.0,4.97,9.309,3.929
0.049,0.135,0.041,0.0,0.0,0.0,0.049,0.135,0.041
0.986,1.45,1.044,,,,0.986,1.45,1.044
