RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.846,1.332,5.857,0.0,0.0,0.0,4.846,1.332,5.857
0.097,0.06,0.116,0.0,0.0,0.0,0.097,0.06,0.116
2.002,4.505,1.981,,,,2.002,4.505,1.981
