RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
4.463,1.303,5.373,0.0,0.0,0.0,4.463,1.303,5.373
0.084,0.059,0.1,0.0,0.0,0.0,0.084,0.059,0.1
1.882,4.528,1.861,,,,1.882,4.528,1.861
