RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
13.521,16.035,12.797,0.0,0.0,0.0,13.521,16.035,12.797
0.21,0.248,0.2,0.0,0.0,0.0,0.21,0.248,0.2
1.553,1.547,1.563,,,,1.553,1.547,1.563
