RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
5.106,1.17,6.239,0.0,0.0,0.0,5.106,1.17,6.239
0.085,0.057,0.104,0.0,0.0,0.0,0.085,0.057,0.104
1.665,4.872,1.667,,,,1.665,4.872,1.667
