RAN-All,RAN-I,RAN-P,E2E-All,E2E-I,E2E-P,Total-All,Total-I,Total-P
14.944,35.576,9.007,0.0,0.0,0.0,14.944,35.576,9.007
0.124,0.167,0.121,0.0,0.0,0.0,0.124,0.167,0.121
0.83,0.469,1.343,,,,0.83,0.469,1.343
