,0,1,2,3
227,L1,L3,L3,L2
228,L1,L3,L3,L2
229,L1,L3,L3,L2
230,L1,L3,L3,L2
231,L1,L3,L3,L2
232,L1,L3,L4,L2
233,L1,L3,L4,L2
234,L1,L3,L4,L2
235,L1,L3,L4,L2
236,L1,L3,L4,L2
237,L1,L3,L4,L2
238,L1,L3,L4,L2
239,L1,L3,L4,L2
240,L1,L3,L3,L2
241,L1,L3,L3,L2
242,L1,L3,L3,L2
243,L1,L3,L3,L2
244,L1,L3,L3,L2
245,L1,L1,L1,L1
