2.1,1.2986,1.2798,1.181,1.179
2.2,1.3162,1.2976,1.197,1.191
2.3,1.3338,1.3154,1.213,1.203
2.4,1.3514,1.3332,1.229,1.215
2.5,1.369,1.351,1.245,1.227
2.6,1.3824,1.3756,1.2742,1.2552
2.7,1.3958,1.4002,1.3034,1.2834
2.8,1.4092,1.4248,1.3326,1.3116
2.9,1.4226,1.4494,1.3618,1.3398
3,1.436,1.474,1.391,1.368
3.1,1.452,1.496,1.4182,1.3818
3.2,1.468,1.518,1.4454,1.3956
3.3,1.484,1.54,1.4726,1.4094
3.4,1.5,1.562,1.4998,1.4232
3.5,1.516,1.584,1.527,1.437
3.6,1.531,1.6058,1.5362,1.4574
3.7,1.546,1.6276,1.5454,1.4778
3.8,1.561,1.6494,1.5546,1.4982
3.9,1.576,1.6712,1.5638,1.5186
4,1.591,1.693,1.573,1.539
4.1,1.6058,1.7194,1.5912,1.5596
4.2,1.6206,1.7458,1.6094,1.5802
4.3,1.6354,1.7722,1.6276,1.6008
4.4,1.6502,1.7986,1.6458,1.6214
4.5,1.665,1.825,1.664,1.642
4.6,1.6766,1.8454,1.6938,1.6654
4.7,1.6882,1.8658,1.7236,1.6888
4.8,1.6998,1.8862,1.7534,1.7122
4.9,1.7114,1.9066,1.7832,1.7356
5,1.723,1.927,1.813,1.759
5.1,1.736,1.9542,1.8316,1.7866
5.2,1.749,1.9814,1.8502,1.8142
5.3,1.762,2.0086,1.8688,1.8418
5.4,1.775,2.0358,1.8874,1.8694
5.5,1.788,2.063,1.906,1.897
5.6,1.7958,2.0844,1.938,1.9182
5.7,1.8036,2.1058,1.97,1.9394
5.8,1.8114,2.1272,2.002,1.9606
5.9,1.8192,2.1486,2.034,1.9818
6,1.827,2.17,2.066,2.003
6.1,1.835,2.1944,2.087,2.0276
6.2,1.843,2.2188,2.108,2.0522
6.3,1.851,2.2432,2.129,2.0768
6.4,1.859,2.2676,2.15,2.1014
6.5,1.867,2.292,2.171,2.126
6.6,1.8736,2.3214,2.1984,2.1414
6.7,1.8802,2.3508,2.2258,2.1568
6.8,1.8868,2.3802,2.2532,2.1722
6.9,1.8934,2.4096,2.2806,2.1876
7,1.9,2.439,2.308,2.203
7.1,1.9064,2.4646,2.3298,2.236
7.2,1.9128,2.4902,2.3516,2.269
7.3,1.9192,2.5158,2.3734,2.302
7.4,1.9256,2.5414,2.3952,2.335
7.5,1.932,2.567,2.417,2.368
7.6,1.936,2.5894,2.4482,2.3838
7.7,1.94,2.6118,2.4794,2.3996
7.8,1.944,2.6342,2.5106,2.4154
7.9,1.948,2.6566,2.5418,2.4312
8,1.952,2.679,2.573,2.447
8.1,1.955,2.7,2.607,2.4786
8.2,1.958,2.721,2.641,2.5102
8.3,1.961,2.742,2.675,2.5418
8.4,1.964,2.763,2.709,2.5734
8.5,1.967,2.784,2.743,2.605
8.6,1.9696,2.8126,2.7774,2.6208
8.7,1.9722,2.8412,2.8118,2.6366
8.8,1.9748,2.8698,2.8462,2.6524
8.9,1.9774,2.8984,2.8806,2.6682
9,1.98,2.927,2.915,2.684
9.1,1.982,2.9498,2.9396,2.7352
9.2,1.984,2.9726,2.9642,2.7864
9.3,1.986,2.9954,2.9888,2.8376
9.4,1.988,3.0182,3.0134,2.8888
9.5,1.99,3.041,3.038,2.94
9.6,1.9906,3.0654,3.0638,2.9552
9.7,1.9912,3.0898,3.0896,2.9704
9.8,1.9918,3.1142,3.1154,2.9856
9.9,1.9924,3.1386,3.1412,3.0008
10,1.993,3.163,3.167,3.016
10.1,1.9936,3.1874,3.2038,3.0362
10.2,1.9942,3.2118,3.2406,3.0564
10.3,1.9948,3.2362,3.2774,3.0766
10.4,1.9954,3.2606,3.3142,3.0968
10.5,1.996,3.285,3.351,3.117
10.6,1.9964,3.3044,3.3774,3.1524
10.7,1.9968,3.3238,3.4038,3.1878
10.8,1.9972,3.3432,3.4302,3.2232
10.9,1.9976,3.3626,3.4566,3.2586
11,1.998,3.382,3.483,3.294
11.1,1.9982,3.4034,3.5082,3.3282
11.2,1.9984,3.4248,3.5334,3.3624
11.3,1.9986,3.4462,3.5586,3.3966
11.4,1.9988,3.4676,3.5838,3.4308
11.5,1.999,3.489,3.609,3.465
11.6,1.9992,3.5064,3.6406,3.4884
11.7,1.9994,3.5238,3.6722,3.5118
11.8,1.9996,3.5412,3.7038,3.5352
11.9,1.9998,3.5586,3.7354,3.5586
12,2,3.576,3.767,3.582
12.1,2,3.5938,3.7982,3.6222
12.2,2,3.6116,3.8294,3.6624
12.3,2,3.6294,3.8606,3.7026
12.4,2,3.6472,3.8918,3.7428
12.5,2,3.665,3.923,3.783
12.6,2,3.6782,3.9608,3.8074
12.7,2,3.6914,3.9986,3.8318
12.8,2,3.7046,4.0364,3.8562
12.9,2,3.7178,4.0742,3.8806
13,2,3.731,4.112,3.905
13.1,2,3.7436,4.1346,3.9274
13.2,2,3.7562,4.1572,3.9498
13.3,2,3.7688,4.1798,3.9722
13.4,2,3.7814,4.2024,3.9946
13.5,2,3.794,4.225,4.017
13.6,2,3.807,4.2624,4.0538
13.7,2,3.82,4.2998,4.0906
13.8,2,3.833,4.3372,4.1274
13.9,2,3.846,4.3746,4.1642
14,2,3.859,4.412,4.201
14.1,2,3.868,4.4332,4.2486
14.2,2,3.877,4.4544,4.2962
14.3,2,3.886,4.4756,4.3438
14.4,2,3.895,4.4968,4.3914
14.5,2,3.904,4.518,4.439
14.6,2,3.9092,4.5492,4.4658
14.7,2,3.9144,4.5804,4.4926
14.8,2,3.9196,4.6116,4.5194
14.9,2,3.9248,4.6428,4.5462
15,2,3.93,4.674,4.573
15.1,2,3.9348,4.7048,4.5954
15.2,2,3.9396,4.7356,4.6178
15.3,2,3.9444,4.7664,4.6402
15.4,2,3.9492,4.7972,4.6626
15.5,2,3.954,4.828,4.685
15.6,2,3.9568,4.86,4.7264
15.7,2,3.9596,4.892,4.7678
15.8,2,3.9624,4.924,4.8092
15.9,2,3.9652,4.956,4.8506
16,2,3.968,4.988,4.892
16.1,2,3.9704,5.011,4.9338
16.2,2,3.9728,5.034,4.9756
16.3,2,3.9752,5.057,5.0174
16.4,2,3.9776,5.08,5.0592
16.5,2,3.98,5.103,5.101
16.6,2,3.9818,5.1226,5.1212
16.7,2,3.9836,5.1422,5.1414
16.8,2,3.9854,5.1618,5.1616
16.9,2,3.9872,5.1814,5.1818
17,2,3.989,5.201,5.202
17.1,2,3.99,5.2276,5.2446
17.2,2,3.991,5.2542,5.2872
17.3,2,3.992,5.2808,5.3298
17.4,2,3.993,5.3074,5.3724
17.5,2,3.994,5.334,5.415
17.6,2,3.9946,5.3618,5.4512
17.7,2,3.9952,5.3896,5.4874
17.8,2,3.9958,5.4174,5.5236
17.9,2,3.9964,5.4452,5.5598
18,2,3.997,5.473,5.596
18.1,2,3.9976,5.489,5.623
18.2,2,3.9982,5.505,5.65
18.3,2,3.9988,5.521,5.677
18.4,2,3.9994,5.537,5.704
18.5,2,4,5.553,5.731
18.6,2,4,5.571,5.7764
18.7,2,4,5.589,5.8218
18.8,2,4,5.607,5.8672
18.9,2,4,5.625,5.9126
19,2,4,5.643,5.958
19.1,2,4,5.6618,5.972
19.2,2,4,5.6806,5.986
19.3,2,4,5.6994,6
19.4,2,4,5.7182,6.014
19.5,2,4,5.737,6.028
19.6,2,4,5.752,6.0694
19.7,2,4,5.767,6.1108
19.8,2,4,5.782,6.1522
19.9,2,4,5.797,6.1936
20,2,4,5.812,6.235
20.1,2,4,5.821,6.2756
20.2,2,4,5.83,6.3162
20.3,2,4,5.839,6.3568
20.4,2,4,5.848,6.3974
20.5,2,4,5.857,6.438
20.6,2,4,5.8634,6.449
20.7,2,4,5.8698,6.46
20.8,2,4,5.8762,6.471
20.9,2,4,5.8826,6.482
21,2,4,5.889,6.493
21.1,2,4,5.898,6.5354
21.2,2,4,5.907,6.5778
21.3,2,4,5.916,6.6202
21.4,2,4,5.925,6.6626
21.5,2,4,5.934,6.705
21.6,2,4,5.9402,6.7404
21.7,2,4,5.9464,6.7758
21.8,2,4,5.9526,6.8112
21.9,2,4,5.9588,6.8466
22,2,4,5.965,6.882
22.1,2,4,5.9676,6.9108
22.2,2,4,5.9702,6.9396
22.3,2,4,5.9728,6.9684
22.4,2,4,5.9754,6.9972
22.5,2,4,5.978,7.026
22.6,2,4,5.9802,7.0574
22.7,2,4,5.9824,7.0888
22.8,2,4,5.9846,7.1202
22.9,2,4,5.9868,7.1516
23,2,4,5.989,7.183
23.1,2,4,5.9898,7.213
23.2,2,4,5.9906,7.243
23.3,2,4,5.9914,7.273
23.4,2,4,5.9922,7.303
23.5,2,4,5.993,7.333
23.6,2,4,5.9924,7.3554
23.7,2,4,5.9918,7.3778
23.8,2,4,5.9912,7.4002
23.9,2,4,5.9906,7.4226
24,2,4,5.99,7.445
24.1,2,4,5.9916,7.466
24.2,2,4,5.9932,7.487
24.3,2,4,5.9948,7.508
24.4,2,4,5.9964,7.529
24.5,2,4,5.998,7.55
24.6,2,4,5.9982,7.5588
24.7,2,4,5.9984,7.5676
24.8,2,4,5.9986,7.5764
24.9,2,4,5.9988,7.5852
25,2,4,5.999,7.594
25.1,2,4,5.9992,7.612
25.2,2,4,5.9994,7.63
25.3,2,4,5.9996,7.648
25.4,2,4,5.9998,7.666
25.5,2,4,6,7.684
25.6,2,4,6,7.7002
25.7,2,4,6,7.7164
25.8,2,4,6,7.7326
25.9,2,4,6,7.7488
26,2,4,6,7.765
26.1,2,4,6,7.7838
26.2,2,4,6,7.8026
26.3,2,4,6,7.8214
26.4,2,4,6,7.8402
26.5,2,4,6,7.859
26.6,2,4,6,7.8628
26.7,2,4,6,7.8666
26.8,2,4,6,7.8704
26.9,2,4,6,7.8742
27,2,4,6,7.878
